pwsid,pop_served,years_in_violation
CA3010017,18404,0
CA3010018,63118,0
CA3010022,114379,0
CA3010023,68572,0
CA3010027,120770,0
CA3010030,39684,0
CA3010035,50381,0
CA3010036,51545,0
CA3010037,84292,0
CA3010038,310539,0
CA3010041,24937,0
CA3010042,41118,0
CA3010046,66600,0
CA3010047,6997,0
CA3010053,201000,0
CA3010062,174226,0
CA3010064,90911,0
CA3010068,3464,0
CA3010069,56747,0
CA3010071,3947,0
CA3010073,170236,0
CA3010079,51800,0
CA3010082,5659,0
CA3010092,444800,0
CA3010094,13659,0
CA3010097,1305,0
CA3010100,15948,0
CA3010101,168289,0
CA3100011,290,0
CA3100014,150,1
CA3100029,200,0
CA3100038,250,0
CA3100041,250,0
CA3100043,75,0
CA3100069,75,0
CA3100528,84,0
CA3100538,31,0
CA3103310,125,0
CA3103835,499,0
CA3103836,499,0
CA3107339,333,0
CA3110001,6321,0
CA3110003,6782,0
CA3110004,54538,0
CA3110005,27294,0
CA3110006,3149,0
CA3110008,155612,0
CA3110009,4183,0
CA3110010,5661,0
CA3110011,844,0
CA3110012,2500,1
CA3110013,793,0
CA3110015,2593,0
CA3110017,824,0
CA3110018,750,0
CA3110019,756,0
CA3110020,1165,0
CA3110022,853,0
CA3110023,524,0
CA3110024,748,0
CA3110025,89544,0
CA3110026,6870,0
CA3110028,15452,0
CA3110029,2200,0
CA3110031,425,0
CA3110034,1800,0
CA3110035,1689,0
CA3110036,507,0
CA3110040,110,0
CA3110041,1491,0
CA3110042,3363,0
CA3110043,300,0
CA3110044,201,0
CA3110047,300,0
CA3110048,653,0
CA3110049,50,0
CA3110050,190,0
CA3110051,4493,0
CA3110124,46,0
CA3110150,8861,0
CA3200078,32,1
CA3200102,765,0
CA3200104,1314,2
CA3200107,215,0
CA3200114,28,0
CA3200127,33,0
CA3200134,200,1
CA3200138,53,1
CA3200148,741,1
CA3200155,25,1
CA3200188,280,0
CA3200189,54,1
CA3200195,38,0
CA3200509,79,1
CA3200510,258,0
CA3205001,150,0
CA3205003,135,1
CA3205006,102,0
CA3210001,630,0
CA3210003,2100,0
CA3210004,3778,0
CA3210005,737,0
CA3210006,6000,1
CA3210007,1394,0
CA3210009,2187,0
CA3210010,1874,0
CA3210011,1534,0
CA3301011,152,1
CA3301018,90,0
CA3301028,80,0
CA3301031,567,0
CA3301040,300,0
CA3301045,35,0
CA3301055,54,0
CA3301107,600,1
CA3301114,210,0
CA3301115,544,0
CA3301145,77,0
CA3301169,237,0
CA3301171,75,0
CA3301180,224,1
CA3301209,60,1
CA3301226,15,0
CA3301267,352,1
CA3301280,500,0
CA3301283,566,0
CA3301294,1087,1
CA3301330,70,1
CA3301355,203,0
CA3301381,400,0
CA3301428,558,0
CA3301482,180,3
CA3301491,198,1
CA3301502,30,0
CA3301511,104,1
CA3301512,232,0
CA3301528,120,0
CA3301529,250,3
CA3301534,296,0
CA3301535,210,0
CA3301541,150,0
CA3301577,614,1
CA3301588,25,0
CA3301630,393,0
CA3301676,157,1
CA3301682,52,0
CA3301717,135,1
CA3301775,733,0
CA3301800,40,1
CA3301863,212,0
CA3301879,340,0
CA3301943,897,0
CA3301990,170,2
CA3303003,50,0
CA3303035,73,1
CA3310001,270000,0
CA3310002,66841,0
CA3310003,9798,0
CA3310004,3382,0
CA3310005,74807,0
CA3310006,31680,0
CA3310007,43590,0
CA3310008,43484,0
CA3310009,666581,0
CA3310012,169455,0
CA3310016,33828,0
CA3310017,10108,0
CA3310018,3095,0
CA3310019,3762,1
CA3310020,84757,0
CA3310021,135093,0
CA3310022,52913,1
CA3310025,25068,1
CA3310026,6733,0
CA3310028,766,0
CA3310030,1540,0
CA3310031,298398,0
CA3310032,18950,0
CA3310033,5848,0
CA3310036,17453,0
CA3310037,168575,0
CA3310038,146147,0
CA3310040,900,0
CA3310044,36827,0
CA3310046,4026,0
CA3310047,2010,0
CA3310048,4600,0
CA3310049,86062,0
CA3310051,9445,0
CA3310052,709,0
CA3310074,21971,0
CA3310076,192,0
CA3310078,517,0
CA3310080,600,0
CA3310081,399,0
CA3310800,4300,0
CA3310801,73,0
CA3310802,4090,0
CA3400101,271,1
CA3400103,100,1
CA3400106,300,1
CA3400107,210,1
CA3400121,318,0
CA3400122,203,0
CA3400125,45,0
CA3400128,60,0
CA3400130,90,1
CA3400135,55,0
CA3400137,33,0
CA3400138,80,0
CA3400149,250,1
CA3400155,54,0
CA3400156,103,1
CA3400164,200,0
CA3400169,100,0
CA3400172,653,0
CA3400179,700,0
CA3400181,445,0
CA3400190,280,0
CA3400191,262,0
CA3400192,48,0
CA3400217,400,0
CA3400229,2800,1
CA3400296,350,0
CA3400331,65,0
CA3400335,200,0
CA3400397,28,0
CA3400401,22,0
CA3400433,40,0
CA3410001,194444,0
CA3410002,10101,1
CA3410003,5658,0
CA3410004,41193,0
CA3410005,5728,0
CA3410006,67818,0
CA3410007,4854,0
CA3410008,43813,0
CA3410009,36226,0
CA3410010,54793,0
CA3410011,26536,0
CA3410012,1693,0
CA3410013,48094,0
CA3410014,80969,0
CA3410015,47161,0
CA3410016,16861,0
CA3410017,50573,0
CA3410018,15460,0
CA3410020,527979,0
CA3410021,29598,0
CA3410022,450,0
CA3410023,15652,0
CA3410026,9280,0
CA3410029,184896,1
CA3410030,3317,0
CA3410031,35534,0
CA3410032,7502,1
CA3410033,7831,0
CA3410045,4191,0
CA3410047,667,0
CA3410704,30825,1
CA3500006,230,1
CA3500505,1017,1
CA3500509,350,0
CA3500510,102,0
CA3500511,53,0
CA3500527,55,0
CA3500549,138,0
CA3500550,160,1
CA3500552,50,0
CA3500556,110,1
CA3500575,50,0
CA3500576,33,1
CA3500578,36,0
CA3500579,90,0
CA3500581,914,3
CA3500810,38,0
CA3500825,98,0
CA3500830,84,0
CA3500836,49,1
CA3500900,132,0
CA3500904,150,0
CA3500910,120,0
CA3500911,69,0
CA3500912,100,0
CA3510001,26017,1
CA3510002,2335,1
CA3510003,24954,0
CA3510004,2988,0
CA3510006,550,0
CA3510007,25,0
CA3510008,159,0
CA3600008,811,1
CA3600009,983,1
CA3600010,155,0
CA3600012,303,0
CA3600022,1000,2
CA3600025,126,5
CA3600027,260,4
CA3600031,300,0
CA3600064,55,0
CA3600070,662,0
CA3600071,84,1
CA3600086,795,4
CA3600087,845,0
CA3600088,150,0
CA3600089,325,0
CA3600094,232,0
CA3600107,406,1
CA3600108,5900,0
CA3600114,611,5
CA3600123,112,2
CA3600133,576,0
CA3600139,782,0
CA3600152,15368,0
CA3600155,176,0
CA3600156,228,0
CA3600157,224,0
CA3600158,475,0
CA3600166,315,0
CA3600172,626,1
CA3600180,264,0
CA3600184,7,0
CA3600185,180,0
CA3600187,350,0
CA3600196,470,0
CA3600200,487,0
CA3600209,71,0
CA3600215,3833,0
CA3600220,529,0
CA3600222,858,1
CA3600226,300,5
CA3600258,492,0
CA3600260,370,2
CA3600262,600,0
CA3600270,373,0
CA3600279,120,0
CA3600283,239,0
CA3600297,200,5
CA3600301,381,0
CA3600306,2098,1
CA3600345,90,0
CA3600372,531,0
CA3600382,36,0
CA3600383,135,0
CA3600385,65,1
CA3600386,66,0
CA3600397,290,0
CA3600399,106,0
CA3600400,180,0
CA3600446,101,0
CA3600504,500,5
CA3600785,250,1
CA3601010,186,0
CA3601015,210,3
CA3601036,150,1
CA3601045,150,0
CA3601048,1070,1
CA3601085,66,1
CA3601182,3035,0
CA3601186,291,0
CA3610001,39930,0
CA3610002,2534,0
CA3610003,64469,0
CA3610004,104498,0
CA3610005,7038,0
CA3610008,12738,0
CA3610009,3916,0
CA3610011,2458,0
CA3610012,86435,0
CA3610013,25129,0
CA3610014,46525,0
CA3610015,11650,0
CA3610016,450,1
CA3610018,211069,0
CA3610019,109608,0
CA3610021,1046,1
CA3610022,1271,0
CA3610023,2993,1
CA3610024,100744,0
CA3610025,6640,0
CA3610026,1240,0
CA3610028,3055,0
CA3610029,56017,0
CA3610030,1502,0
CA3610031,13000,0
CA3610032,8766,0
CA3610033,1700,0
CA3610034,185010,0
CA3610036,76414,0
CA3610037,78025,0
CA3610038,54453,0
CA3610039,214665,0
CA3610041,237700,0
CA3610043,32547,0
CA3610044,26132,0
CA3610045,817,0
CA3610046,499,1
CA3610047,4177,0
CA3610048,2400,0
CA3610049,18795,0
CA3610050,78376,0
CA3610051,2471,1
CA3610052,135983,0
CA3610053,7705,0
CA3610055,52010,3
CA3610057,20188,0
CA3610060,1118,0
CA3610062,5268,0
CA3610063,1717,0
CA3610064,108629,0
CA3610073,26411,0
CA3610082,119,0
CA3610085,3441,0
CA3610093,2654,0
CA3610105,2086,0
CA3610107,6208,0
CA3610108,586,0
CA3610109,4002,0
CA3610110,1856,0
CA3610112,6347,0
CA3610114,2320,0
CA3610117,1574,0
CA3610118,861,0
CA3610120,24285,0
CA3610121,14911,0
CA3610125,12843,0
CA3610701,1126,0
CA3610703,16067,0
CA3610705,15701,0
CA3610800,83,0
CA3610801,65,0
CA3610850,10667,1
CA3610851,1195,0
CA3610854,1818,0
CA3700041,300,2
CA3700071,300,0
CA3700073,86,0
CA3700074,2923,1
CA3700277,150,0
CA3700291,96,1
CA3700422,100,0
CA3700859,290,0
CA3700866,330,0
CA3700897,100,3
CA3700900,9913,0
CA3700905,760,0
CA3700906,78,0
CA3700909,1517,1
CA3700912,338,1
CA3700918,102,2
CA3700919,250,0
CA3700922,317,0
CA3700923,670,1
CA3700924,360,4
CA3700933,193,0
CA3700934,185,5
CA3700936,200,0
CA3700937,142,0
CA3700938,769,0
CA3700958,238,0
CA3700962,260,1
CA3700968,298,0
CA3701184,353,2
CA3701341,120,4
CA3701408,360,0
CA3701476,13032,3
CA3701747,298,0
CA3701780,28,0
CA3701793,400,4
CA3701837,140,0
CA3701934,255,0
CA3701961,200,0
CA3701982,13050,0
CA3701988,185,0
CA3701995,100,2
CA3702104,828,0
CA3702236,4416,0
CA3702354,448,0
CA3710001,106000,1
CA3710002,113500,0
CA3710004,3919,0
CA3710005,95158,0
CA3710006,137044,0
CA3710008,35237,0
CA3710009,870,4
CA3710010,277668,0
CA3710011,561,0
CA3710012,899,0
CA3710013,35500,0
CA3710014,171483,0
CA3710015,49888,0
CA3710016,23536,0
CA3710018,30757,0
CA3710019,37047,0
CA3710020,1385379,0
CA3710021,40405,0
CA3710023,21578,0
CA3710025,191282,0
CA3710026,29938,0
CA3710027,132430,0
CA3710029,86458,0
CA3710034,238008,0
CA3710036,3429,0
CA3710037,93980,0
CA3710039,2645,3
CA3710041,1768,1
CA3710044,3275,0
CA3710047,500,0
CA3710700,12651,0
CA3710702,42219,0
CA3710710,2981,0
CA3710750,36990,0
CA3710800,27,0
CA3710802,60,0
CA3810001,600,0
CA3810003,410,0
CA3810008,1,0
CA3810011,848019,0
CA3810700,3500,0
CA3810702,3864,0
CA3900504,264,0
CA3900505,270,0
CA3900512,105,0
CA3900517,60,0
CA3900523,112,0
CA3900543,92,0
CA3900558,172,0
CA3900559,40,0
CA3900561,104,0
CA3900563,178,0
CA3900568,180,0
CA3900569,60,0
CA3900579,50,5
CA3900586,50,0
CA3900596,200,0
CA3900602,200,0
CA3900606,75,2
CA3900607,131,0
CA3900624,160,0
CA3900637,120,1
CA3900649,100,1
CA3900653,150,0
CA3900661,275,0
CA3900664,125,0
CA3900682,123,0
CA3900701,148,0
CA3900702,145,0
CA3900705,55,0
CA3900714,69,0
CA3900719,55,1
CA3900720,238,0
CA3900722,290,0
CA3900724,234,0
CA3900732,35,2
CA3900733,75,0
CA3900751,26,4
CA3900755,150,0
CA3900762,55,1
CA3900805,300,0
CA3900813,100,0
CA3900831,340,0
CA3900835,70,0
CA3900837,39,0
CA3900842,320,0
CA3900844,75,0
CA3900907,325,0
CA3900921,30,1
CA3900927,119,0
CA3900964,300,0
CA3900983,100,0
CA3900991,40,1
CA3901031,252,1
CA3901074,238,0
CA3901075,149,0
CA3901081,130,0
CA3901092,310,0
CA3901113,106,0
CA3901114,236,0
CA3901159,125,0
CA3901172,178,0
CA3901213,34,5
CA3901215,201,0
CA3901216,320,0
CA3901217,41,0
CA3901276,38,0
CA3901303,231,0
CA3901304,39,0
CA3901337,426,0
CA3901348,1172,0
CA3901474,39,5
CA3910001,176266,0
CA3910002,1841,0
CA3910003,7429,0
CA3910004,68272,0
CA3910005,84928,0
CA3910006,50,0
CA3910007,15741,0
CA3910008,3572,0
CA3910009,964,0
CA3910010,5841,0
CA3910011,96609,0
CA3910012,191302,1
CA3910014,1086,4
CA3910015,35080,0
CA3910017,3802,0
CA3910018,600,0
CA3910019,1784,0
CA3910020,711,0
CA3910022,1510,0
CA3910023,1479,0
CA3910024,851,0
CA3910027,24948,0
CA3910803,5551,2
CA4000200,85,0
CA4000202,132,0
CA4000203,135,0
CA4000206,700,0
CA4000214,81,0
CA4000222,1630,0
CA4000230,133,0
CA4000501,110,1
CA4000506,538,4
CA4000507,440,0
CA4000523,591,0
CA4000554,350,1
CA4000563,30,5
CA4000568,462,2
CA4000631,40,3
CA4000637,60,0
CA4000648,84,5
CA4000649,420,0
CA4000650,600,0
CA4000653,252,1
CA4000654,99,5
CA4000660,45,0
CA4000670,486,0
CA4000705,80,0
CA4000716,75,0
CA4000741,70,0
CA4000744,85,0
CA4000749,38,0
CA4000750,55,4
CA4000765,105,0
CA4000771,44,0
CA4000775,30,1
CA4000789,125,0
CA4000802,344,0
CA4000803,50,0
CA4000805,126,0
CA4000808,65,0
CA4000815,108,0
CA4000834,60,0
CA4000839,25,0
CA4000853,139,0
CA4010001,17963,0
CA4010002,30618,0
CA4010003,1600,1
CA4010004,12701,0
CA4010005,7601,0
CA4010006,2567,0
CA4010007,31176,0
CA4010008,8036,2
CA4010009,47788,0
CA4010010,2600,0
CA4010011,13757,0
CA4010012,2956,3
CA4010014,5532,1
CA4010015,2181,0
CA4010016,7086,0
CA4010017,5924,0
CA4010018,4506,0
CA4010019,8011,0
CA4010022,1569,1
CA4010023,1493,0
CA4010024,1291,0
CA4010026,13771,0
CA4010027,2181,3
CA4010028,1085,0
CA4010040,2026,0
CA4010081,3862,0
CA4010830,15000,0
CA4010832,4100,0
CA4010901,1200,0
CA4100503,150,0
CA4100509,300,1
CA4100510,56,0
CA4100512,65,0
CA4100522,114,0
CA4100529,208,1
CA4100538,357,0
CA4100540,35,0
CA4100551,50,1
CA4100555,90,0
CA4100582,642,0
CA4100583,65,0
CA4100610,28,1
CA4110001,30609,0
CA4110002,3402,0
CA4110003,31451,0
CA4110005,1472,0
CA4110006,61431,0
CA4110007,35344,0
CA4110008,102348,0
CA4110009,64146,0
CA4110010,6078,0
CA4110011,18940,0
CA4110012,915,0
CA4110013,104901,0
CA4110016,11766,0
CA4110017,22362,0
CA4110018,22795,0
CA4110019,2789,0
CA4110020,2900,0
CA4110021,36556,0
CA4110022,92819,0
CA4110023,42631,0
CA4110024,29519,0
CA4110025,38546,0
CA4110027,13486,0
CA4200505,60,0
CA4200531,240,0
CA4200556,150,0
CA4200560,135,0
CA4200572,200,0
CA4200578,160,0
CA4200579,38,0
CA4200580,120,0
CA4200612,150,0
CA4200616,295,0
CA4200618,150,0
CA4200619,304,0
CA4200633,55,1
CA4200678,38,0
CA4200693,186,1
CA4200702,60,0
CA4200703,325,1
CA4200714,43,0
CA4200721,66,0
CA4200731,54,0
CA4200733,70,0
CA4200800,142,0
CA4200802,102,0
CA4200804,54,0
CA4200807,325,0
CA4200814,30,0
CA4200822,59,1
CA4200827,25,0
CA4200837,129,0
CA4200842,320,1
CA4200848,75,1
CA4200851,66,1
CA4200862,34,0
CA4200867,40,0
CA4200870,234,0
CA4200881,211,0
CA4200885,38,0
CA4200891,115,0
CA4200918,845,0
CA4200924,40,0
CA4200969,45,1
CA4210001,15996,0
CA4210002,1534,0
CA4210003,8897,0
CA4210004,84462,0
CA4210005,550,0
CA4210006,40473,0
CA4210007,11962,0
CA4210009,700,0
CA4210010,99323,0
CA4210011,109477,0
CA4210013,6126,0
CA4210016,34102,0
CA4210017,7308,0
CA4210018,5161,0
CA4210019,3600,0
CA4210020,7022,0
CA4210021,1947,0
CA4210022,545,0
CA4210024,4861,0
CA4210700,14971,0
CA4300516,338,0
CA4300517,346,1
CA4300520,145,1
CA4300521,142,1
CA4300522,156,1
CA4300525,168,0
CA4300526,61,0
CA4300542,627,0
CA4300543,1173,0
CA4300545,258,0
CA4300550,79,0
CA4300551,220,0
CA4300560,80,0
CA4300562,148,1
CA4300563,300,0
CA4300567,65,0
CA4300571,53,0
CA4300573,53,1
CA4300575,317,2
CA4300577,103,0
CA4300578,41,0
CA4300603,104,0
CA4300611,250,1
CA4300615,413,0
CA4300630,36,1
CA4300637,58,1
CA4300638,145,0
CA4300716,300,1
CA4300740,40,0
CA4300741,60,0
CA4300752,42,0
CA4300757,40,1
CA4300760,68,0
CA4300770,110,0
CA4300771,305,0
CA4300787,38,0
CA4300792,45,0
CA4300829,30,1
CA4300831,165,0
CA4300832,46,0
CA4300834,450,0
CA4300842,36,0
CA4300848,35,1
CA4300856,66,0
CA4300909,284,0
CA4300912,104,0
CA4300924,250,0
CA4300978,70,1
CA4300979,55,0
CA4300992,66,0
CA4300994,500,0
CA4300996,45,0
CA4300997,16273,0
CA4300999,65,0
CA4301004,43,0
CA4301013,30,0
CA4301062,35,0
CA4301410,25,0
CA4310001,69973,0
CA4310004,59203,1
CA4310005,81773,0
CA4310006,47374,0
CA4310007,81501,0
CA4310009,67231,0
CA4310011,1039920,1
CA4310012,130746,0
CA4310013,35853,0
CA4310014,157566,0
CA4310018,16336,0
CA4310019,45559,0
CA4310020,101265,0
CA4310021,6245,0
CA4310022,110088,0
CA4400502,614,0
CA4400517,43,1
CA4400526,182,1
CA4400528,64,1
CA4400557,118,0
CA4400558,392,0
CA4400559,152,2
CA4400571,350,0
CA4400572,187,1
CA4400582,75,0
CA4400585,50,0
CA4400595,419,0
CA4400598,210,0
CA4400599,182,0
CA4400604,52,1
CA4400605,126,0
CA4400608,385,0
CA4400611,125,1
CA4400613,70,0
CA4400617,481,1
CA4400618,213,1
CA4400621,54,3
CA4400624,87,0
CA4400625,53,0
CA4400631,402,0
CA4400634,32,1
CA4400642,60,0
CA4400645,45,0
CA4400652,75,0
CA4400660,200,0
CA4400664,130,1
CA4400665,42,0
CA4400667,26,0
CA4400684,52,0
CA4400692,54,0
CA4400723,1310,0
CA4400754,1051,0
CA4400755,400,0
CA4400762,235,1
CA4400763,455,0
CA4400764,170,0
CA4400850,57,1
CA4410001,1120,0
CA4410002,4340,1
CA4410008,1176,1
CA4410010,94626,0
CA4410011,65231,0
CA4410013,11197,0
CA4410014,21145,1
CA4410016,1067,0
CA4410017,40809,0
CA4410018,2726,0
CA4500003,300,1
CA4500006,274,1
CA4500007,356,0
CA4500008,88,0
CA4500009,92,0
CA4500013,310,1
CA4500014,264,0
CA4500015,333,1
CA4500016,70,1
CA4500022,185,0
CA4500023,88,0
CA4500027,97,1
CA4500028,248,1
CA4500054,408,0
CA4500063,40,1
CA4500066,75,0
CA4500081,250,1
CA4500082,50,0
CA4500089,44,1
CA4500092,87,0
CA4500093,35,0
CA4500094,260,0
CA4500098,40,0
CA4500101,168,1
CA4500102,78,1
CA4500104,37,0
CA4500106,26,1
CA4500107,205,1
CA4500173,131,0
CA4500194,90,1
CA4500195,510,0
CA4500200,120,0
CA4500203,92,1
CA4500204,415,0
CA4500210,475,1
CA4500219,85,1
CA4500235,187,1
CA4500246,434,1
CA4500247,90,1
CA4500255,382,0
CA4500290,53,0
CA4500303,95,1
CA4500313,261,1
CA4500314,109,1
CA4500317,419,1
CA4510001,11147,1
CA4510002,2227,1
CA4510003,3154,0
CA4510004,2006,1
CA4510005,89628,0
CA4510006,10657,0
CA4510007,3316,1
CA4510008,1535,0
CA4510009,750,0
CA4510011,4151,0
CA4510013,3069,0
CA4510014,18612,0
CA4510015,904,0
CA4510016,8900,0
CA4600009,726,1
CA4600012,82,0
CA4600017,324,0
CA4600018,200,0
CA4600019,182,0
CA4600056,250,0
CA4610001,983,0
CA4610002,783,1
CA4700503,70,0
CA4700513,280,1
CA4700521,143,1
CA4700523,289,0
CA4700528,300,0
CA4700531,75,1
CA4700541,55,0
CA4700542,135,0
CA4700546,146,0
CA4700549,277,0
CA4700551,181,0
CA4700626,105,0
CA4700627,100,1
CA4700630,48,0
CA4700686,106,0
CA4700803,126,0
CA4700872,150,0
CA4700880,549,1
CA4700884,32,1
CA4700885,25,0
CA4710001,887,1
CA4710002,1707,1
CA4710003,695,0
CA4710004,720,0
CA4710006,1317,1
CA4710007,1264,1
CA4710008,3642,1
CA4710009,2662,0
CA4710010,856,1
CA4710011,7825,1
CA4710012,1100,1
CA4710013,2790,1
CA4800511,25,1
CA4800531,60,0
CA4800561,125,2
CA4800564,80,1
CA4800589,25,0
CA4800753,550,0
CA4810001,27131,0
CA4810002,10623,0
CA4810003,120377,1
CA4810004,10489,0
CA4810005,29105,2
CA4810007,121420,0
CA4810008,99650,0
CA4810009,12540,0
CA4810010,535,1
CA4810011,290,0
CA4810012,132,0
CA4810013,1313,0
CA4810015,3,0
CA4810021,2800,0
CA4810024,63,0
CA4810025,89,2
CA4810026,56,0
CA4810701,18111,0
CA4810800,5100,0
CA4810801,65,0
CA4900508,525,0
CA4900510,90,1
CA4900512,260,0
CA4900513,76,0
CA4900514,94,0
CA4900521,290,0
CA4900532,406,0
CA4900533,59,0
CA4900536,533,0
CA4900543,427,0
CA4900545,300,1
CA4900546,81,0
CA4900547,129,0
CA4900548,300,0
CA4900549,290,0
CA4900551,64,0
CA4900552,93,0
CA4900553,75,0
CA4900558,287,0
CA4900559,126,0
CA4900560,135,1
CA4900561,448,0
CA4900562,640,1
CA4900563,150,0
CA4900568,88,4
CA4900570,300,0
CA4900573,70,0
CA4900575,26,0
CA4900577,178,0
CA4900578,288,0
CA4900580,181,0
CA4900582,34,0
CA4900584,271,0
CA4900585,439,0
CA4900587,112,0
CA4900588,218,0
CA4900599,200,1
CA4900600,460,1
CA4900603,150,0
CA4900605,61,0
CA4900608,66,2
CA4900611,208,0
CA4900612,363,0
CA4900620,82,0
CA4900630,150,0
CA4900634,45,0
CA4900637,221,0
CA4900639,30,0
CA4900640,40,0
CA4900641,100,0
CA4900644,70,3
CA4900646,27,0
CA4900647,435,0
CA4900653,65,0
CA4900660,200,0
CA4900665,87,0
CA4900667,244,0
CA4900669,82,0
CA4900673,50,0
CA4900674,27,0
CA4900675,130,0
CA4900720,210,1
CA4900721,342,0
CA4900723,188,0
CA4900728,65,0
CA4900736,40,0
CA4900785,79,0
CA4900787,169,1
CA4900789,90,0
CA4900791,178,1
CA4900793,42,0
CA4900794,141,1
CA4900795,196,0
CA4900796,420,0
CA4900797,221,0
CA4900798,250,0
CA4900799,200,1
CA4900832,410,0
CA4900843,151,1
CA4900846,25,0
CA4900850,77,0
CA4900858,38,0
CA4900871,691,0
CA4900892,45,0
CA4900893,40,0
CA4900901,80,0
CA4900905,20,1
CA4900913,66,2
CA4900943,418,0
CA4900973,148,1
CA4901062,48,0
CA4901071,60,0
CA4901221,50,0
CA4901246,115,0
CA4901309,100,0
CA4901314,35,0
CA4901346,59,0
CA4901355,60,0
CA4901381,56,0
CA4901445,208,0
CA4901595,40,0
CA4901671,48,0
CA4910002,10398,0
CA4910003,1742,0
CA4910004,6000,0
CA4910005,10985,0
CA4910006,60781,0
CA4910007,1160,1
CA4910008,4150,0
CA4910009,175396,0
CA4910010,1265,0
CA4910011,7522,0
CA4910012,11725,0
CA4910013,23107,0
CA4910014,43821,0
CA4910016,7303,0
CA4910017,25561,0
CA4910018,473,0
CA4910019,3788,0
CA4910021,1069,0
CA4910022,805,0
CA4910023,7913,0
CA4910024,1046,0
CA4910025,1029,0
CA4910026,757,0
CA4910027,10986,0
CA4910028,3000,0
CA4910029,1171,0
CA4910701,469,1
CA5000005,500,1
CA5000008,168,0
CA5000010,195,0
CA5000013,144,0
CA5000014,269,0
CA5000015,150,0
CA5000017,250,0
CA5000019,610,0
CA5000020,26,0
CA5000033,50,4
CA5000041,36,0
CA5000048,125,2
CA5000049,64,0
CA5000054,67,0
CA5000055,153,0
CA5000058,120,0
CA5000060,204,0
CA5000061,60,4
CA5000067,56,0
CA5000071,112,0
CA5000072,148,0
CA5000080,55,0
CA5000082,65,0
CA5000090,540,4
CA5000095,353,1
CA5000099,110,0
CA5000218,60,5
CA5000237,234,0
CA5000263,75,0
CA5000297,25,0
CA5000313,150,0
CA5000317,287,0
CA5000389,186,0
CA5000408,70,1
CA5000433,1570,0
CA5000579,26,0
CA5010005,14537,0
CA5010006,8788,0
CA5010007,887,0
CA5010008,7481,4
CA5010009,5672,0
CA5010010,218771,0
CA5010013,12207,1
CA5010014,23235,1
CA5010017,24977,0
CA5010018,24834,0
CA5010019,72682,0
CA5010021,5090,0
CA5010023,1099,0
CA5010026,597,0
CA5010028,54513,1
CA5010029,1327,0
CA5010031,175,0
CA5010033,914,0
CA5010034,172,0
CA5010035,119,0
CA5010038,23,0
CA5010039,2000,0
CA5010040,25,0
CA5010042,1079,0
CA5100107,205,0
CA5100112,50,1
CA5100125,25,2
CA5101009,350,0
CA5102025,40,0
CA5110001,9285,0
CA5110002,70256,0
CA5110007,2904,0
CA5200007,75,1
CA5200008,75,1
CA5200010,45,1
CA5200012,468,1
CA5200013,40,0
CA5200014,75,0
CA5200255,112,1
CA5200500,70,0
CA5200502,191,1
CA5200503,634,1
CA5200504,483,0
CA5200508,543,0
CA5200510,305,1
CA5200512,99,0
CA5200514,45,0
CA5200521,175,0
CA5200526,70,1
CA5200527,50,1
CA5200531,104,1
CA5200534,237,3
CA5200535,80,1
CA5200539,75,1
CA5200545,85,1
CA5200546,70,1
CA5200547,103,0
CA5200548,85,1
CA5200551,158,1
CA5200555,44,0
CA5200556,140,1
CA5200558,100,0
CA5200559,63,0
CA5200560,145,1
CA5200562,412,1
CA5200570,163,1
CA5200571,131,1
CA5200574,116,0
CA5200575,36,0
CA5200584,53,1
CA5200588,27,0
CA5200645,90,1
CA5200657,45,0
CA5200864,1055,1
CA5201140,25,1
CA5201147,102,0
CA5210001,8244,0
CA5210002,1200,0
CA5210003,1450,0
CA5210004,14710,0
CA5210005,3329,0
CA5301001,42,1
CA5301002,677,1
CA5301008,223,1
CA5301017,102,0
CA5301101,131,0
CA5301102,338,1
CA5301103,60,0
CA5301104,99,1
CA5301201,40,1
CA5303002,43,2
CA5304102,332,0
CA5304109,115,1
CA5304501,231,1
CA5304502,130,1
CA5310001,3975,1
CA5310002,2324,0
CA5310003,729,0
CA5400504,205,1
CA5400505,163,1
CA5400506,560,0
CA5400529,95,0
CA5400536,106,0
CA5400537,125,1
CA5400542,616,1
CA5400544,531,0
CA5400550,691,1
CA5400553,657,2
CA5400556,40,0
CA5400567,340,1
CA5400602,60,0
CA5400604,103,0
CA5400616,109,5
CA5400631,694,0
CA5400641,383,0
CA5400647,95,3
CA5400660,75,1
CA5400665,1280,4
CA5400670,408,2
CA5400679,66,0
CA5400682,138,3
CA5400710,278,0
CA5400718,165,1
CA5400728,98,0
CA5400732,46,0
CA5400744,40,1
CA5400754,384,5
CA5400767,46,0
CA5400769,41,0
CA5400792,650,0
CA5400816,155,0
CA5400819,44,0
CA5400824,983,1
CA5400875,33,0
CA5400880,495,0
CA5400881,109,1
CA5400903,500,0
CA5400929,400,1
CA5400934,340,0
CA5400935,138,0
CA5400940,260,0
CA5400964,43,5
CA5400968,200,0
CA5401003,423,5
CA5401026,70,1
CA5402036,330,0
CA5402038,550,0
CA5402047,31,1
CA5402048,89,0
CA5403023,412,0
CA5403043,350,1
CA5403084,150,0
CA5403110,43,0
CA5403113,106,0
CA5403144,39,0
CA5403213,130,0
CA5403217,300,1
CA5410001,6200,3
