pwsid,pop_served,years_in_violation
090600035,46,0
090600036,51,0
090600037,25,0
090600038,72,1
090600039,30,3
090600040,45,0
090600041,30,0
090600042,35,0
090600043,50,2
090600056,60,0
090600057,102,0
090600058,11268,0
090600059,63,0
090600115,52,0
090600118,1171,0
090600120,600,1
090600121,408,2
090600122,2735,1
090600125,2200,0
090600126,209,1
090600128,88,0
090600129,120,0
090600130,172,0
090600133,250,0
090600134,96,3
090600135,153,1
090600138,535,0
090600139,100,0
090600141,487,1
090600142,16000,0
090600144,360,1
090600145,616,0
090600146,305,0
090600147,7003,0
090600148,1000,0
090600150,325,1
090600151,3000,0
090600154,10675,0
090600156,2560,2
090600158,9600,0
090600159,222,3
090600161,30,3
090600194,267,0
090600202,361,3
090600226,3550,1
090600227,355,0
090600237,1290,0
090600260,600,0
090600362,250,0
090605004,150,3
090605006,120,2
090605007,1076,0
090605008,296,0
090605011,43,0
090605012,5700,0
090605013,29100,0
090605014,215,0
090605015,409,1
090605017,1225,0
090605019,185,0
090605021,60,0
090605024,12350,0
090605025,98,0
090605033,76,2
090605041,61,0
090605045,400,1
090605046,67,0
090605047,3474,0
090605057,70,0
090605060,220,0
090605062,90,0
090605073,84,2
090605074,25,0
090605077,35,1
090605080,705,0
090605083,2015,1
090605102,80,0
090605107,12800,0
090605116,110,0
090605118,152,1
090605119,650,0
090605120,300,0
090605121,70,0
090605122,70,0
090605124,230,1
090605125,1530,0
090605126,3500,0
090605129,826,1
090605130,379,0
090605132,81,1
090605143,300,0
090605145,68,0
090605146,73,2
090605147,114,0
090605150,190,0
090605153,14280,2
090605154,35,1
090605160,275,2
090605164,417,0
090605168,35,0
090605169,30,0
093200067,150,1
093200161,450,0
093200162,452,1
093200163,166,2
093200164,110,2
093200165,456,0
093200166,1200,0
093200168,800,0
093200169,950,0
093200171,512,4
093200172,30,1
093200173,40,1
093200177,40,1
093200359,150,1
093200360,662,2
093200362,250,2
093200364,195,1
093200366,40,1
093200369,620,0
093200372,450,0
093200373,2340,1
093200376,100,1
093200379,457,0
093500302,1574,0
093503042,1864,0
093534001,455,2
093534003,120,2
093534005,137,1
093534006,65,0
093534011,160,0
093534020,550,2
093534021,900,1
093534022,800,1
093534024,400,1
100211202,1575,4
101600001,355,1
101600002,50,1
101600003,235,0
101600010,300,0
101611104,200,0
101611105,110,0
101612108,490,0
101612109,2850,1
101612110,515,1
104101100,155,3
104101101,130,2
104101102,350,2
104101132,320,0
104101133,75,0
104101136,475,0
104101247,3800,2
104111101,1310,1
104121121,140,0
105300002,3699,1
105300003,5968,0
105300006,340,2
105300007,445,1
105300008,380,2
105300009,220,2
105300010,42,2
105300011,120,2
105300012,1300,5
105300013,3250,0
105300014,3200,1
105300015,1509,0
105300016,885,0
105300017,200,1
105300018,1600,1
105300019,898,0
105300020,1150,0
105300021,325,2
105300022,525,2
105300024,70,0
105300025,907,1
105300026,900,0
105300027,620,1
105300028,150,3
105300031,500,0
105300032,1212,0
105300033,95,2
105300036,330,1
105300042,790,0
105300047,260,2
105300048,365,0
105300051,125,0
105300058,110,2
105300073,45,1
105300081,95,0
105300085,78,0
105300086,169,1
105300087,511,0
105300088,150,1
105300089,375,1
105300090,1500,0
105300091,1000,0
105300092,1000,0
105300109,45,0
105300115,115,1
105300117,42,0
105300120,25,1
105300123,480,3
105300127,230,1
105300133,207,0
105300135,42,0
105300141,150,0
105300144,86,0
105300146,1500,0
105300155,38,0
105311103,295,1
105311106,80,0
105311107,216,0
105314113,75,0
105338100,160,1
105338102,300,1
105338109,75,0
105338111,68,1
105388889,517,0
AK2110318,250,1
AK2110342,38526,0
AK2110562,113,1
AK2110601,9411,0
AK2111566,2376,2
AK2120012,225,5
AK2120127,450,0
AK2120143,2300,1
AK2120169,904,5
AK2120193,1475,0
AK2120216,470,0
AK2120224,415,4
AK2120232,8937,0
AK2120436,199,3
AK2120606,66,0
AK2121123,60,4
AK2121479,25,0
AK2121510,975,1
AK2121527,100,0
AK2130017,450,2
AK2130067,980,2
AK2130075,9448,0
AK2130083,415,5
AK2130122,230,0
AK2130148,3218,0
AK2130156,95,1
AK2130172,740,0
AK2210338,96,0
AK2210346,123,1
AK2210354,47,1
AK2210419,993,0
AK2210435,795,0
AK2210451,435,0
AK2210485,465,0
AK2210574,480,0
AK2210605,794,0
AK2210639,76,0
AK2210689,828,0
AK2210697,130,0
AK2210778,99,0
AK2210794,175,2
AK2210891,25,2
AK2210906,221351,0
AK2211075,1395,0
AK2211091,175,0
AK2211114,493,0
AK2211122,48,0
AK2211130,100,0
AK2211164,60,0
AK2211198,160,0
AK2211229,350,0
AK2211423,30003,0
AK2211431,708,0
AK2211473,70,2
AK2211562,63,0
AK2211619,650,0
AK2211669,50,0
AK2211677,1005,1
AK2211708,30,0
AK2211724,102,0
AK2211813,75,0
AK2211897,242,1
AK2211936,80,0
AK2211952,650,0
AK2212005,51,0
AK2212021,2625,0
AK2212039,20284,0
AK2212128,600,0
AK2212267,120,0
AK2212461,144,2
AK2212819,50,1
AK2212916,72,0
AK2212924,36,0
AK2213019,45,0
AK2213239,65,0
AK2213297,120,0
AK2213336,354,0
AK2213530,48,0
AK2213564,94,0
AK2213598,200,0
AK2213603,56,1
AK2213768,48,0
AK2213792,120,0
AK2213962,34,0
AK2214007,60,0
AK2214730,375,0
AK2215524,75,0
AK2215558,78,0
AK2215566,50,2
AK2216198,220,0
AK2217576,96,0
AK2218630,935,0
AK2218642,28,0
AK2218652,168,0
AK2218653,60,0
AK2218807,36,0
AK2218822,32,0
AK2220029,1166,1
AK2220037,465,2
AK2220070,239,1
AK2220086,55,0
AK2220094,232,0
AK2220095,52,0
AK2220135,135,0
AK2220138,50,0
AK2220139,110,0
AK2220146,75,0
AK2220151,210,0
AK2220153,56,0
AK2220154,192,2
AK2220159,60,0
AK2220169,72,0
AK2220170,276,1
AK2220173,167,0
AK2220178,26,0
AK2220215,28,0
AK2220216,28,0
AK2220308,56,0
AK2220310,25,0
AK2220400,183,0
AK2220408,1590,0
AK2220439,266,1
AK2220443,96,0
AK2220461,25,0
AK2220465,32,1
AK2220473,80,0
AK2220482,32,0
AK2220485,155,0
AK2220488,50,0
AK2220493,25,0
AK2220495,500,0
AK2220501,128,0
AK2220515,100,0
AK2220533,170,0
AK2221208,200,0
AK2221834,2733,0
AK2222848,75,1
AK2223145,90,0
AK2223179,80,1
AK2223315,180,0
AK2223624,100,1
AK2223983,120,0
AK2224028,39,0
AK2224036,120,1
AK2224078,147,0
AK2224109,75,0
AK2224117,168,0
AK2224159,63,2
AK2224167,912,0
AK2224214,168,1
AK2224256,170,0
AK2224329,118,0
AK2224337,74,3
AK2224476,90,1
AK2224646,18492,0
AK2225032,1850,0
AK2225281,101,0
AK2225511,180,0
AK2226014,88,0
AK2226020,8111,0
AK2226021,168,0
AK2226035,320,0
AK2226051,32,0
AK2226057,90,0
AK2226240,90,0
AK2226410,37,0
AK2226428,35,1
AK2226509,150,0
AK2226567,110,1
AK2227149,30,0
AK2227199,950,0
AK2227204,495,0
AK2227212,8,0
AK2227220,33,1
AK2227539,37,0
AK2227547,36,0
AK2227734,435,0
AK2240448,5700,0
AK2240456,7008,0
AK2240464,281,2
AK2240472,206,0
AK2240498,180,0
AK2240503,100,0
AK2240707,418,2
AK2240757,3324,1
AK2241020,470,1
AK2241054,4807,0
AK2241062,125,1
AK2241088,150,0
AK2241101,51,1
AK2241648,360,1
AK2243103,85,1
AK2243137,60,0
AK2243658,170,5
AK2243771,30,1
AK2244159,545,1
AK2244955,300,0
AK2247490,1000,0
AK2247953,150,0
AK2249028,75,1
AK2249099,33,1
AK2249203,100,0
AK2249263,100,0
AK2249434,150,1
AK2250011,9547,0
AK2250037,90,0
AK2250045,175,3
AK2250053,144,2
AK2250061,246,3
AK2250087,60,0
AK2250126,3092,0
AK2250134,271,1
AK2260032,87,0
AK2260040,170,0
AK2260058,50,1
AK2260066,80,0
AK2260074,65,1
AK2260090,293,2
AK2260139,200,1
AK2260163,580,0
AK2260197,2419,1
AK2260202,128,2
AK2260228,199,1
AK2260244,972,1
AK2260252,95,1
AK2260260,205,2
AK2260278,34,0
AK2260286,380,1
AK2260294,830,2
AK2260309,9400,0
AK2260325,910,0
AK2260333,66,1
AK2260359,88,0
AK2260367,566,1
AK2260414,182,0
AK2260595,325,3
AK2260804,60,1
AK2260812,100,0
AK2260820,496,1
AK2261096,200,0
AK2261282,305,0
AK2261444,273,0
AK2261460,31,0
AK2262199,393,2
AK2262238,485,1
AK2262246,215,2
AK2262301,336,1
AK2263006,160,4
AK2263010,31,1
AK2263014,61,0
AK2270150,850,1
AK2270168,340,1
AK2270176,548,1
AK2270184,637,3
AK2270207,213,3
