building_type,climate_zone,vintage_bin,eui_kbtu_sqft_yr
sf_attached,3B,1950_1979,31.8
sf_attached,3B,1980_1999,26.6
sf_attached,3B,2000_2009,27.6
sf_attached,3B,2010_plus,24.8
sf_attached,3B,unknown,29.5
sf_attached,3C,pre_1950,38.2
sf_attached,3C,1950_1979,33.8
sf_attached,3C,1980_1999,25.3
sf_attached,3C,2000_2009,29.0
sf_attached,3C,2010_plus,24.0
sf_attached,3C,unknown,30.4
sf_attached,4,pre_1950,69.2
sf_attached,4,1950_1979,59.4
sf_attached,4,1980_1999,43.3
sf_attached,4,2000_2009,36.3
sf_attached,4,2010_plus,34.3
sf_attached,4,unknown,50.4
sf_attached,4A,pre_1950,69.7
sf_attached,4A,1950_1979,60.3
sf_attached,4A,1980_1999,43.7
sf_attached,4A,2000_2009,36.4
sf_attached,4A,2010_plus,34.4
sf_attached,4A,unknown,51.6
sf_attached,4B,1950_1979,55.3
sf_attached,4B,1980_1999,36.3
sf_attached,4B,unknown,43.3
sf_attached,4C,pre_1950,46.0
sf_attached,4C,1950_1979,44.2
sf_attached,4C,1980_1999,38.9
sf_attached,4C,2000_2009,35.2
sf_attached,4C,2010_plus,31.6
sf_attached,4C,unknown,39.2
sf_attached,5,pre_1950,74.1
sf_attached,5,1950_1979,65.2
sf_attached,5,1980_1999,51.7
sf_attached,5,2000_2009,40.8
sf_attached,5,2010_plus,40.5
sf_attached,5,unknown,55.4
sf_attached,5A,pre_1950,74.3
sf_attached,5A,1950_1979,67.2
sf_attached,5A,1980_1999,52.9
sf_attached,5A,2000_2009,42.3
sf_attached,5A,2010_plus,42.6
sf_attached,5A,unknown,57.4
sf_attached,5B,pre_1950,68.6
sf_attached,5B,1950_1979,56.8
sf_attached,5B,1980_1999,43.2
sf_attached,5B,2000_2009,35.9
sf_attached,5B,2010_plus,35.3
sf_attached,5B,unknown,44.6
sf_attached,6,pre_1950,90.3
sf_attached,6,1950_1979,75.9
sf_attached,6,1980_1999,60.3
sf_attached,6,2000_2009,51.6
sf_attached,6,2010_plus,50.6
sf_attached,6,unknown,61.1
sf_attached,6A,pre_1950,89.9
sf_attached,6A,1950_1979,77.0
sf_attached,6A,1980_1999,62.0
sf_attached,6A,2000_2009,53.0
sf_attached,6A,2010_plus,52.3
sf_attached,6A,unknown,63.4
sf_attached,6B,1950_1979,45.7
sf_attached,6B,1980_1999,49.2
sf_attached,6B,2000_2009,36.0
sf_attached,6B,unknown,43.5
sf_attached,7,1950_1979,81.6
sf_attached,7,1980_1999,53.4
sf_attached,7,2000_2009,48.9
sf_attached,7,unknown,57.5
sf_attached,7A,1980_1999,65.0
sf_attached,7A,2000_2009,53.6
sf_attached,7A,unknown,68.8
sf_attached,7B,unknown,39.3
mf_2_4,1,pre_1950,35.4
mf_2_4,1,1950_1979,31.5
mf_2_4,1,1980_1999,28.6
mf_2_4,1,2000_2009,28.5
mf_2_4,1,unknown,30.5
mf_2_4,1A,pre_1950,35.4
mf_2_4,1A,1950_1979,31.5
mf_2_4,1A,1980_1999,28.6
mf_2_4,1A,2000_2009,28.5
mf_2_4,1A,unknown,30.5
mf_2_4,2,pre_1950,44.2
mf_2_4,2,1950_1979,37.3
mf_2_4,2,1980_1999,32.6
mf_2_4,2,2000_2009,30.6
mf_2_4,2,2010_plus,31.4
mf_2_4,2,unknown,34.4
mf_2_4,2A,pre_1950,44.6
mf_2_4,2A,1950_1979,37.5
mf_2_4,2A,1980_1999,32.5
mf_2_4,2A,2000_2009,30.7
mf_2_4,2A,2010_plus,31.6
mf_2_4,2A,unknown,34.5
mf_2_4,2B,1950_1979,35.8
mf_2_4,2B,1980_1999,34.0
mf_2_4,2B,2000_2009,29.3
mf_2_4,2B,unknown,33.9
mf_2_4,3,pre_1950,42.5
mf_2_4,3,1950_1979,42.5
mf_2_4,3,1980_1999,36.3
mf_2_4,3,2000_2009,34.2
mf_2_4,3,2010_plus,35.3
mf_2_4,3,unknown,39.4
mf_2_4,3A,pre_1950,51.7
mf_2_4,3A,1950_1979,48.6
mf_2_4,3A,1980_1999,39.8
mf_2_4,3A,2000_2009,35.3
mf_2_4,3A,2010_plus,37.5
mf_2_4,3A,unknown,42.7
