geoid,median_gross_rent,resolved
13075,956,county
13077,1488,county
13079,914,county
13081,778,county
13083,829,county
13085,1626,county
13087,838,county
13089,1692,county
13091,723,county
13093,758,county
13095,935,county
13097,1570,county
13099,791,county
13101,1017,county
13103,1147,county
13105,844,county
13107,783,county
13109,719,county
13111,900,county
13113,1898,county
13115,1014,county
13117,2090,county
13119,844,county
13121,1732,county
13123,998,county
13125,642,county
13127,1135,county
13129,937,county
13131,779,county
13133,924,county
13135,1810,county
13137,974,county
13139,1341,county
13141,938,county
13143,923,county
13145,1048,county
13147,844,county
13149,917,county
13151,1674,county
13153,1208,county
13155,865,county
13157,1126,county
13159,970,county
13161,650,county
13163,731,county
13165,535,county
13167,647,county
13169,964,county
13171,878,county
13173,913,county
13175,863,county
13177,1184,county
13179,1246,county
13181,786,county
13183,976,county
13185,1052,county
13187,1142,county
13189,792,county
13191,800,county
13193,655,county
13195,972,county
13197,710,county
13199,920,county
13201,810,county
13205,797,county
13207,943,county
13209,760,county
13211,1108,county
13213,857,county
13215,1106,county
13217,1439,county
13219,1462,county
13221,913,county
13223,1772,county
13225,940,county
13227,1136,county
13229,799,county
13231,993,county
13233,918,county
13235,883,county
13237,1002,county
13239,918,county
13241,1047,county
13243,606,county
13245,1141,county
13247,1525,county
13249,816,county
13251,679,county
13253,879,county
13255,1113,county
13257,820,county
13259,607,county
13261,857,county
13263,816,county
13265,638,county
13267,699,county
13269,630,county
13271,712,county
13273,745,county
13275,1018,county
13277,777,county
13279,768,county
13281,808,county
13283,733,county
13285,1087,county
13287,679,county
13289,808,county
13291,808,county
13293,849,county
13295,940,county
13297,1175,county
13299,789,county
13301,690,county
13303,858,county
13305,846,county
13307,658,county
13309,581,county
13311,1032,county
13313,971,county
13315,610,county
13317,786,county
13319,825,county
13321,864,county
15001,1510,county
15003,2083,county
15005,1271,county
15007,1870,county
15009,1916,county
16001,1577,county
16003,830,county
16005,960,county
16007,632,county
16009,875,county
16011,874,county
16013,1338,county
16015,850,county
16017,1122,county
16019,1133,county
16021,877,county
16023,608,county
16025,1000,county
16027,1347,county
16029,847,county
16031,1000,county
16033,773,county
16035,875,county
16037,691,county
16039,1243,county
16041,894,county
16043,864,county
16045,1038,county
16047,880,county
16049,789,county
16051,1138,county
16053,966,county
16055,1492,county
16057,929,county
16059,754,county
16061,737,county
16063,1021,county
16065,1014,county
16067,900,county
16069,1015,county
16071,859,county
16073,821,county
16075,860,county
16077,767,county
16079,943,county
16081,1319,county
16083,1089,county
16085,1117,county
16087,938,county
17001,828,county
17003,656,county
17005,785,county
17007,1041,county
17009,698,county
17011,832,county
17013,583,county
17015,818,county
17017,723,county
17019,1051,county
17021,785,county
17023,861,county
17025,735,county
17027,912,county
17029,780,county
17031,1435,county
17033,811,county
17035,772,county
17037,1049,county
17039,903,county
17041,848,county
17043,1688,county
17045,775,county
17047,811,county
17049,733,county
17051,798,county
17053,923,county
17055,803,county
17057,785,county
17059,541,county
17061,754,county
17063,1177,county
17065,568,county
17067,782,county
17069,379,county
17071,764,county
17073,842,county
17075,799,county
17077,782,county
17079,793,county
17081,885,county
17083,846,county
17085,825,county
17087,781,county
17089,1453,county
17091,1097,county
17093,1781,county
17095,788,county
17097,1477,county
17099,928,county
17101,836,county
17103,894,county
17105,880,county
17107,829,county
17109,761,county
17111,1401,county
17113,1009,county
17115,847,county
17117,801,county
17119,1024,county
17121,794,county
17123,782,county
17125,802,county
17127,756,county
17129,885,county
17131,786,county
17133,1042,county
17135,723,county
17137,722,county
17139,804,county
17141,936,county
17143,993,county
17145,728,county
17147,1046,county
17149,676,county
17151,449,county
17153,634,county
17155,851,county
17157,780,county
17159,805,county
17161,889,county
17163,1090,county
17165,726,county
17167,983,county
17169,853,county
