county_fips,pct_pop_hb_violation,cws_pop,n_cws
08043,14.76,53239,16
08045,33.83,50685,56
08047,0.00,18917,2
08049,23.90,30371,23
08051,4.09,20762,20
08053,89.76,654,2
08055,80.79,5722,10
08057,0.00,683,2
08059,0.71,555599,47
08061,23.63,859,3
08063,14.95,7491,6
08065,0.53,9071,7
08067,5.51,54489,55
08069,7.27,488138,46
08071,2.53,14236,14
08073,13.44,7725,6
08075,4.34,17059,9
08077,0.13,162182,21
08079,0.00,2082,3
08081,3.46,10114,6
08083,3.41,28039,10
08085,2.00,56033,20
08087,1.52,28903,8
08089,27.39,19329,23
08091,63.58,3869,5
08093,50.59,3487,11
08095,1.18,3545,3
08097,16.52,41174,27
08099,26.80,11670,10
08101,21.76,162362,18
08103,0.55,5046,4
08105,1.99,7327,9
08107,57.45,38671,23
08109,14.65,5958,5
08111,0.00,2387,1
08113,39.37,20954,12
08115,86.73,1711,3
08117,40.38,71775,24
08119,67.65,18110,24
08121,100.00,2979,2
08123,8.83,360554,58
08125,3.48,6758,4
09001,0.55,747901,61
09003,5.08,823516,47
09005,2.83,109271,76
09007,3.29,76494,50
09009,0.06,708665,31
09011,4.99,185198,88
09013,10.74,42962,69
09015,9.26,45979,53
10001,0.27,148290,62
10003,0.00,528856,31
10005,0.74,345080,113
11001,5.40,668435,3
12001,0.09,222701,15
12003,0.00,10228,4
12005,19.01,204717,10
12007,0.20,15048,7
12009,20.70,722613,27
12011,20.50,1910047,37
12013,0.00,4300,2
12015,0.27,258549,19
12017,0.68,119183,52
12019,0.05,179375,12
12021,0.34,376613,10
12023,4.77,23576,18
12027,29.39,22759,10
12029,2.06,4850,4
12031,0.01,932353,21
12033,0.00,347475,12
12035,0.06,132066,10
12037,51.26,20497,6
12039,0.38,37757,15
12041,0.00,3475,2
12043,60.34,6714,6
12045,25.97,24211,5
12047,0.00,7969,3
12049,0.90,15692,9
12051,0.39,33930,9
12053,0.29,169901,15
12055,4.17,96058,29
12057,0.07,1651821,186
12059,12.60,4898,7
12061,0.00,167409,3
12063,7.45,23418,15
12065,0.00,8752,5
12067,0.00,2455,2
12069,3.11,422515,136
12071,24.54,718686,20
12073,0.07,234605,24
12075,9.66,11446,13
12077,44.66,6879,8
12079,87.26,9317,5
12081,3.41,428473,7
12083,2.06,261772,130
12085,5.52,157852,16
12086,0.00,3286862,25
12087,100.00,30000,1
12089,0.40,61464,11
12091,7.87,282700,21
12093,7.72,23325,9
12095,0.21,1616684,45
12097,0.41,327230,28
12099,54.20,1582826,33
12101,0.47,398563,67
12103,5.00,1147776,12
12105,13.60,646447,149
12107,57.95,26183,31
12109,0.39,218557,21
12111,3.78,327992,20
12113,0.01,220672,15
12115,0.00,481933,14
12117,6.87,508899,38
12119,0.80,171162,24
12121,29.68,13310,7
12123,64.48,11291,3
12125,0.00,4875,2
12127,0.58,547431,48
12129,43.43,30426,7
12131,0.94,123608,9
12133,27.36,9138,6
13001,0.00,6711,4
13003,41.16,4186,5
13005,0.00,4161,2
13007,0.00,834,2
13009,99.79,43822,5
13011,35.79,11249,7
13013,11.73,85749,8
13015,0.00,108364,8
13017,0.00,15414,2
13019,0.00,8014,4
13021,0.00,130597,4
13023,0.00,9614,2
13025,0.00,2726,8
13027,0.00,9119,14
13029,0.00,37375,44
13031,0.12,80276,122
13033,0.00,8591,7
13035,0.00,35630,4
13037,22.99,5307,5
13039,43.57,57937,11
13043,0.00,5447,9
13045,0.00,107402,10
13047,4.35,67936,3
13049,0.00,6751,4
13051,11.68,333285,83
13053,0.00,2956,1
13055,0.00,23813,5
13057,0.00,273023,8
13059,98.14,127473,11
13061,0.00,2678,3
13063,0.00,298449,2
13065,0.00,3895,4
13067,0.00,803382,4
13069,0.22,24161,31
13071,0.00,25461,33
13073,86.78,143776,6
13075,0.00,9842,8
13077,62.15,154677,13
13079,0.00,6180,4
13081,0.00,17190,13
13083,0.00,16285,1
13085,0.00,28917,5
13087,4.10,18286,10
13089,0.00,1832893,2
13091,0.00,11351,4
13093,0.00,9265,6
13095,0.00,105353,6
13097,0.00,127084,1
13099,0.00,6218,3
13101,100.00,1026,2
13103,0.00,49904,71
13105,0.00,9461,6
13107,7.00,15595,14
13109,0.00,6362,7
13111,0.00,17064,21
13113,0.57,105240,12
13115,0.00,98177,4
13117,0.00,222696,8
13119,29.03,19421,7
13121,4.05,1636505,10
13123,0.00,17462,14
13125,97.73,1673,3
13127,0.00,88617,50
13129,0.00,53934,3
13131,0.00,11928,12
13133,1.16,24740,22
13135,0.00,997144,5
13137,12.19,39382,14
13139,0.00,149723,9
13141,36.82,7885,7
13143,48.28,25310,5
13145,0.00,32757,9
13147,0.33,16603,27
13149,89.10,9172,2
13151,0.00,229763,7
13153,0.00,251970,7
13155,0.00,3688,5
13157,38.27,88298,10
13159,46.27,8740,5
13161,90.54,6382,5
13163,0.81,11871,7
13165,0.00,6672,2
13167,0.00,4262,3
13169,0.00,23390,5
13171,17.17,13101,3
13173,57.93,4692,8
13175,0.00,28483,18
13177,74.98,26931,16
13179,0.00,74981,42
13181,99.40,7682,3
13183,0.00,8355,55
13185,70.48,95373,68
13187,0.00,13983,33
13189,100.00,21312,1
13191,0.00,12072,32
13193,13.08,10259,6
13195,8.22,12436,22
13197,19.49,7297,2
13199,41.78,12917,9
13201,0.00,1998,1
13205,27.85,14389,8
13207,0.00,28582,5
13209,2.79,5346,10
13211,68.23,9419,12
13213,0.00,28420,2
13215,0.00,229000,1
13217,2.38,95877,12
13219,0.00,34550,23
13221,17.21,5899,19
13223,0.00,123096,3
13225,0.00,26072,3
13227,0.00,31169,4
13229,1.22,6888,11
13231,0.00,8881,9
13233,0.00,38851,4
13235,0.00,7937,2
13237,5.90,22898,19
13239,0.00,3457,5
13241,0.60,14645,14
13243,0.00,4136,3
13245,0.11,212843,5
13247,0.00,90172,5
13249,0.00,5058,2
13251,3.30,7115,16
13253,0.00,4350,5
13255,0.00,65298,6
13257,90.93,31576,4
13259,0.00,5962,5
13261,0.00,17738,12
13263,62.79,6415,5
13265,100.00,621,1
13267,0.00,11376,11
13269,21.30,6107,4
13271,2.67,10114,5
13273,0.00,6299,6
13275,1.04,40745,28
13277,0.00,35050,8
13279,1.89,20318,15
13281,0.00,19823,5
13283,0.00,3115,1
13285,8.24,52133,5
13287,0.00,6357,4
13289,0.00,3010,9
13291,16.89,26096,9
13293,0.00,20849,9
13295,0.00,63927,5
13297,6.12,89333,12
13299,0.00,32933,6
13301,89.54,3536,3
13303,0.00,13712,8
13305,0.00,14455,22
13307,0.00,1007,2
13309,0.00,5044,3
13311,0.00,16767,18
13313,0.00,99315,1
13315,0.00,5787,5
13317,87.48,7419,3
13319,0.00,6841,6
13321,0.00,10139,11
15001,0.17,143721,37
15003,0.00,1119635,30
15007,0.00,76806,16
15009,0.00,167019,35
16001,1.91,504229,54
16003,1.08,2404,5
16005,0.79,78505,23
16007,4.59,5444,12
16009,19.21,6440,9
16011,59.59,23509,28
16013,14.71,21097,22
16015,29.50,4257,20
16017,5.29,28793,54
16019,20.03,118972,35
16021,10.70,11040,14
16023,77.70,1390,4
16025,100.00,441,1
16027,0.84,203284,83
16029,19.10,4816,8
16031,94.64,12863,13
16033,100.00,511,1
16035,45.98,5916,11
16037,0.00,1618,4
16039,58.46,25944,25
16041,72.90,10527,15
16043,15.12,7250,11
16045,0.87,6912,6
16047,0.65,8264,8
16049,18.62,7679,18
16051,59.36,9339,17
16053,3.23,15082,6
16055,2.21,165274,116
16057,6.68,40338,21
16059,91.17,3535,5
16061,17.81,2976,6
16063,16.92,2659,4
16065,0.10,43820,7
16067,1.39,10793,9
16069,1.45,36991,12
16071,0.00,2200,1
16073,5.29,5628,8
16075,42.74,17449,7
16077,2.87,5287,5
16079,0.00,13271,15
16081,1.27,6798,13
16083,2.06,71424,14
16085,68.35,7386,12
16087,0.00,6109,3
17001,2.35,65370,19
17003,0.00,7545,6
17005,12.71,17546,9
17007,0.00,40965,11
17009,0.00,5721,5
17011,17.52,25833,24
17013,0.00,6205,5
17015,5.41,11142,9
17017,7.53,11133,7
17019,0.13,205540,38
17021,15.87,28512,14
17023,3.50,19356,6
17025,0.00,10106,6
17027,17.10,34134,20
17029,29.92,57768,10
17031,4.51,5221530,161
17033,7.98,20733,7
17035,0.00,4730,4
17037,1.57,94490,20
17039,1.60,10955,8
17041,4.07,18418,11
17043,0.19,848182,48
17045,10.43,12207,7
17047,0.00,6245,4
17049,11.65,24037,12
17051,83.29,17926,9
17053,5.01,10254,11
17055,18.99,42671,22
17057,3.39,32184,18
17059,0.00,4726,7
17061,19.92,12516,10
17063,15.53,42851,20
17065,35.76,7864,4
17067,14.29,11851,11
17069,0.00,4051,5
17071,0.00,9312,7
17073,9.30,38696,41
17075,13.21,21006,26
17077,75.53,56868,20
17079,0.00,33112,4
17081,0.00,35777,13
17083,0.00,21683,4
17085,33.43,15063,14
17087,47.15,7996,6
17089,4.79,567720,39
17091,88.23,91529,21
17093,0.13,76297,9
17095,4.33,45929,17
17097,4.63,630204,102
17099,49.61,92405,37
17101,35.18,12860,8
17103,2.95,28097,17
17105,29.05,28522,16
17107,67.64,23794,14
17109,47.99,33078,14
17111,26.64,248860,32
17113,6.14,164377,36
17115,8.10,103222,14
17117,33.45,45111,30
17119,4.03,270829,41
17121,0.00,42624,15
17123,18.96,9155,11
17125,6.89,7934,6
17127,50.97,13774,4
17129,0.00,12141,7
17131,7.55,9799,14
17133,15.11,27001,6
17135,43.92,25805,18
17137,15.70,36295,14
17139,0.00,12582,6
17141,11.74,32530,24
17143,4.77,168585,21
17145,70.88,18955,7
17147,18.28,11525,9
17149,1.76,15892,13
17151,100.00,6195,2
17153,6.26,3226,6
17155,25.10,4004,8
17157,37.18,29363,14
17159,12.89,11015,7
17161,8.80,146448,49
17163,0.77,254649,26
17165,75.00,25507,11
17167,2.00,182511,42
17169,1.58,7415,5
17171,18.54,4422,6
17173,19.35,11925,9
17175,42.21,3419,4
17177,1.10,31863,13
17179,6.66,121380,30
17181,71.75,13389,9
17183,3.11,55477,20
17185,70.99,9881,5
17187,73.52,12109,6
17189,0.00,20407,12
17191,64.39,16129,10
17193,1.26,13916,9
17195,22.86,37014,12
17197,32.74,587848,52
17199,27.20,75433,24
17201,4.02,240995,28
17203,4.12,25504,19
18001,1.55,16779,6
18003,87.83,308737,12
18005,0.23,75609,6
18007,4.10,6104,6
18009,0.00,7115,2
18011,64.96,26012,7
18013,0.00,22108,3
18015,2.62,6070,4
18017,0.58,21981,7
18019,11.20,175951,10
18021,18.99,16983,7
18023,3.77,20921,7
18025,46.41,7085,6
18027,53.91,25392,6
18029,13.31,46859,9
18031,75.80,20411,5
18033,2.50,25013,7
18035,0.16,87198,14
18037,12.10,61963,11
18039,1.32,97999,16
18041,0.00,15652,5
18043,0.00,25657,4
18045,40.75,9191,5
18047,13.25,12680,4
18049,0.00,8217,5
18051,22.47,28354,9
18053,2.12,44531,10
18055,3.11,36152,7
18057,45.37,220554,16
18059,0.00,36516,7
18061,42.51,41132,6
18063,0.61,85919,9
18065,0.00,30050,9
18067,0.00,64249,11
18069,86.11,23520,8
18071,3.92,39841,7
18073,10.24,12153,5
18075,0.00,10543,4
18077,0.00,33773,7
18079,35.43,25813,9
18081,0.00,143205,8
18083,8.20,31243,11
18085,3.88,26757,30
18087,16.42,6582,9
18089,3.22,521960,30
18091,32.79,71180,23
18093,13.63,46335,6
18095,77.34,93008,13
18097,5.21,939923,3
18099,19.93,22657,12
18101,0.00,14412,5
18103,2.02,17349,15
18105,65.80,126270,10
18107,3.66,21711,10
18109,0.00,58493,13
18111,5.71,5495,8
18113,11.55,21150,13
18115,66.61,7187,2
18117,0.00,9125,3
18119,6.08,13967,3
18121,76.07,8911,7
18123,6.98,17527,6
18125,57.11,18263,6
18127,3.24,46343,8
18129,13.78,10158,4
18131,24.33,3983,3
18133,3.23,25715,11
18135,10.33,14041,8
18137,6.69,30930,8
18139,3.37,9275,5
18141,0.01,182639,15
18143,0.00,25087,2
18145,0.46,21521,9
18147,13.80,18258,9
18149,0.00,6301,3
18151,3.57,17399,18
18153,6.06,19012,10
18155,0.00,13887,2
18157,1.43,161238,11
18159,19.52,6461,3
18161,0.00,2692,3
18163,0.00,195334,2
18165,17.65,13389,12
18167,0.36,85722,11
18169,1.50,20985,13
18171,1.45,2560,3
18173,1.94,61913,7
18175,35.10,23363,5
18177,5.41,50203,12
18179,0.32,14007,5
18181,18.64,11585,13
18183,12.74,14152,7
19001,0.00,28393,7
19003,0.00,25113,3
19005,0.00,7755,4
19007,0.00,40200,6
19009,0.00,3247,4
19011,3.98,18566,17
19013,0.00,160761,11
19015,48.68,32446,12
19017,0.00,55919,10
19019,0.00,12252,10
19021,0.00,24334,12
19023,0.31,46798,10
19025,9.11,7950,12
19027,0.60,19740,13
19029,6.99,10314,7
19031,0.53,11973,13
19033,0.00,38006,9
19035,0.00,13074,11
19037,5.89,6891,6
19039,17.72,31060,4
19041,0.00,19361,6
19043,0.00,9653,16
19045,0.00,38911,16
19047,0.00,15526,10
19049,0.08,146802,20
19051,0.00,36056,3
19053,6.52,59204,6
19055,0.00,7810,8
19057,2.19,42067,9
19059,69.24,13861,10
19061,0.00,83775,32
19063,0.00,7635,7
19065,0.00,12950,11
19067,0.00,10575,7
19069,0.00,6652,9
19071,0.00,4080,7
19073,0.00,11915,5
19075,0.00,46025,9
19077,2.83,6889,7
19079,0.00,17394,9
19081,3.60,7077,8
19083,0.00,50510,12
19085,0.00,8192,11
19087,0.00,23991,11
19089,0.00,6115,6
19091,0.00,6820,8
19093,0.00,4909,5
19095,0.38,12258,11
19097,0.00,11343,10
19099,0.00,63898,11
19101,0.00,61798,10
19103,0.28,164454,74
19105,0.00,12186,13
19107,0.00,23048,11
19109,0.00,9947,15
19111,0.00,35371,6
19113,0.10,217144,40
19115,0.00,5879,8
19117,0.00,37858,3
19119,0.00,12196,12
19121,0.00,48287,5
19123,0.00,24159,4
19125,0.00,30229,13
19127,0.00,71448,13
19129,2.01,7573,7
19131,0.00,6147,5
19133,0.00,5791,8
19135,0.00,37193,3
19137,0.00,10573,4
19139,0.00,35085,22
19141,0.00,11182,7
19143,0.00,13222,7
19145,0.00,15052,9
19147,1.66,15490,7
19149,0.00,17313,10
19151,9.37,5196,9
19153,3.93,562451,38
19155,0.00,83347,16
19157,65.35,15352,8
19159,0.00,23061,4
19161,15.86,8296,8
19163,0.56,166074,48
19165,0.00,11941,9
19167,0.00,38650,16
19169,0.98,158623,20
19171,0.00,24422,11
19173,0.00,24181,4
19175,0.00,28329,2
19177,0.00,36195,8
19179,0.00,44794,6
19181,0.00,57488,14
19183,0.00,31684,14
19185,0.00,36392,6
19187,1.04,37997,24
19189,0.00,8283,7
19191,0.00,11801,13
19193,0.33,97929,17
19195,0.00,4533,7
19197,0.00,10302,7
20001,1.77,9991,14
20003,0.00,7276,7
20005,0.00,16560,8
20007,2.62,3623,9
20009,1.69,21760,11
20011,7.04,16490,6
20013,3.09,7027,11
20015,3.15,48500,21
20017,1.56,1728,7
20019,90.42,2840,10
20021,21.90,18273,16
20023,0.00,1729,2
20025,0.00,1576,3
20027,0.00,6443,8
20029,0.00,7364,7
20031,0.00,9572,9
20033,12.14,1425,4
20035,0.00,33556,15
20037,9.77,38940,18
20039,0.00,1878,3
20041,18.49,15169,13
20043,15.49,6664,8
20045,0.00,155266,12
20047,87.00,2077,4
20049,53.12,2353,6
20051,0.38,26078,13
20053,5.14,7958,6
20055,0.00,43660,12
20057,94.32,28953,5
20059,53.51,24169,14
20061,33.18,58426,8
20063,4.78,1736,5
20065,8.18,1700,4
20067,0.00,6410,1
20069,6.99,3591,5
20071,11.51,886,2
20073,21.96,6875,9
20075,0.00,1965,3
20077,7.07,4510,8
20079,0.00,31932,10
20081,43.16,2421,2
20083,0.00,1019,2
20085,0.00,12049,12
20087,8.26,19964,18
20089,17.42,2554,7
20091,0.69,670249,7
20093,24.21,2858,2
20095,9.92,4365,6
20097,0.00,1553,3
20099,60.97,19599,15
20101,0.00,1210,2
20103,0.00,82837,16
20105,11.58,1658,4
20107,41.80,10692,12
20109,91.67,2210,2
20111,78.30,30663,12
20113,0.00,24563,13
20115,16.18,9583,12
20117,5.81,7965,10
20119,0.00,3061,3
20121,14.74,29041,8
20123,86.60,7799,9
20125,36.74,30553,17
20127,0.00,4859,6
20129,0.00,2264,2
20131,0.60,9620,11
20133,1.91,16913,15
20135,0.00,2002,6
20137,81.84,3426,5
20139,2.42,18214,16
20141,5.30,2755,7
20143,0.00,5267,7
20145,1.68,5837,4
20147,1.37,3783,9
20149,8.05,23141,17
20151,96.06,7090,6
20153,0.00,1519,3
20155,84.31,49175,16
20157,67.19,4932,10
20159,2.44,8153,8
20161,0.08,62626,12
20163,58.26,4037,8
20165,12.76,2335,9
20167,63.49,7053,12
20169,0.00,50739,11
20171,0.00,3748,1
20173,0.00,497465,23
20175,0.00,20107,3
20177,4.75,154507,9
20179,0.00,1407,2
20181,0.00,4605,2
20183,9.77,2713,5
20185,36.24,2583,3
20187,0.00,1470,2
20189,0.00,4038,2
20191,6.41,23681,17
20193,0.00,6004,3
20195,0.00,3454,4
20197,34.70,4939,10
20199,0.00,1034,3
20201,7.44,5258,12
20203,0.00,1430,1
20205,9.96,8803,16
20207,46.45,3311,3
20209,0.00,160765,2
21001,100.00,22113,1
